date,EOF1,EOF2,AR_CAT
1979-12-01 09:00:00,0.5876744986356532,-0.08329144673130066,1
1979-12-02 09:00:00,0.3176055214704977,0.14188363814987867,1
1980-01-24 09:00:00,0.28449861559519146,-0.33200598859380365,1
1980-02-12 09:00:00,0.05807767005921595,0.2419542249709419,1
1980-02-13 09:00:00,-0.22496562322999208,-0.01907980048009152,3
1980-02-25 09:00:00,0.39882557038390615,-0.11649905378058792,1
1980-02-26 09:00:00,0.09772822399744348,0.08264554683661772,1
1980-12-13 09:00:00,0.4185555229719065,-0.2028013118603966,1
1980-12-23 09:00:00,-0.716242573820717,0.01576531244685367,3
1981-01-27 09:00:00,-0.07824112299074325,-0.351009258833844,2
1981-02-10 09:00:00,0.4225052814585776,-0.3306545066309393,1
1981-02-11 09:00:00,0.4708887288858926,0.07673285079983876,1
1981-12-11 09:00:00,-0.5067387849839751,-0.08486264007954665,3
1982-01-29 09:00:00,-0.4235297067324197,0.10615710743905007,3
1982-02-09 09:00:00,0.5278348699767411,-0.1941360332770916,1
1982-02-17 09:00:00,0.047149316027202855,0.043184486998355656,1
1982-02-18 09:00:00,-0.09791352575407664,0.12268902291814587,3
1982-12-08 09:00:00,0.21092565351628584,0.2634861032950871,1
1983-01-25 09:00:00,0.4355301272967643,-0.021397781926214398,1
1983-01-27 09:00:00,0.2943937800688457,-0.1849387367102982,1
1983-02-27 09:00:00,0.4561894463676931,-0.361487287658005,1
1983-02-28 09:00:00,0.4388669399416769,0.11798188327886952,1
1983-12-25 09:00:00,-0.2039702482658684,-0.6362410839120741,2
1983-12-26 09:00:00,0.07672834523048044,-0.6406884840912659,2
1983-12-27 09:00:00,0.15381061833144438,-0.24044278213809736,1
1984-01-16 09:00:00,-0.33120766778980315,-0.5379533842395929,2
1984-01-17 09:00:00,-0.12898046960141474,-0.5554481258684225,2
1984-02-19 09:00:00,-0.6781681023871785,0.018313779173194062,3
1984-02-20 09:00:00,-0.6386084700617776,-0.08136754435570379,3
1984-12-07 09:00:00,0.4853376230227645,-0.05654893307266231,1
1984-12-09 09:00:00,0.4762805119149572,-0.12199626198752575,1
1984-12-10 09:00:00,0.3277234248139668,-0.2414509698693087,1
1984-12-13 09:00:00,-0.171108561584629,-0.7270509423016035,2
1984-12-14 09:00:00,-0.09981280063947158,-0.4990122250785992,2
1985-12-06 09:00:00,0.14697942364414385,0.4613888167174772,1
1985-12-19 09:00:00,0.4281258324480299,-0.4197281813935306,1
1985-12-20 09:00:00,0.4723286402881534,0.0006951622294605732,1
1985-12-21 09:00:00,0.2895852549842634,0.018849838123884195,1
1986-02-09 09:00:00,-0.4303824218065542,0.2800034706267529,3
1986-12-03 09:00:00,0.5443696631770152,-0.09594032749930753,1
1986-12-04 09:00:00,0.7096472859729911,0.018666027848627118,1
1986-12-05 09:00:00,0.6266355215068798,0.269900056872803,1
1986-12-06 09:00:00,0.329269748554471,0.3465830262756681,1
1986-12-21 09:00:00,-0.2555712994785302,-0.1158339880601858,2
1987-02-11 09:00:00,0.2724417467387427,0.4870745572224263,1
1987-12-11 09:00:00,-0.4646458114114931,0.15270745815199302,3
1987-12-12 09:00:00,-0.3274013032119114,-0.24293554767009504,2
1987-12-29 09:00:00,0.5494850055675728,0.07671984473912996,1
1987-12-30 09:00:00,0.6392093106736019,0.23450226738319574,1
1987-12-31 09:00:00,0.4516189940908579,0.57595951355506,1
1988-01-01 09:00:00,0.2607316740672026,0.7313646162763602,1
1988-01-20 09:00:00,-0.1482882282076694,0.4769473719238463,3
1988-02-18 09:00:00,0.27016951214959223,-0.1668708941577975,1
1988-02-19 09:00:00,-0.012045795566197457,-0.03100776057801478,1
1988-02-23 09:00:00,-0.3236356734440723,-0.6562133495734386,2
1988-02-24 09:00:00,-0.2594909961271089,-0.3797801118237825,2
1988-12-20 09:00:00,-0.14234139842244878,-0.06199418854628596,2
1988-12-27 09:00:00,0.5598492500622668,-0.3507832677760321,1
1988-12-28 09:00:00,0.6121363298916463,-0.07534396120602775,1
1988-12-29 09:00:00,0.3851591844502453,-0.1283688903280307,1
1989-01-05 09:00:00,0.3245573772752508,0.2748122425107154,1
1989-01-07 09:00:00,-0.42542823517896705,0.009663350021803765,3
1989-01-08 09:00:00,-0.31398437170853444,-0.3539729035071674,2
1989-02-02 09:00:00,0.6758072492374689,-0.02147158000447043,1
1989-02-03 09:00:00,0.5133647027655796,0.06118889474005955,1
1989-02-19 09:00:00,0.027434303272562844,-0.7606928783974306,2
1989-02-23 09:00:00,0.4311122126770308,0.1862113980232421,1
1989-12-06 09:00:00,0.4366580410743327,0.05449003523068297,1
1989-12-07 09:00:00,0.41075764198119263,0.215868559728479,1
1989-12-16 09:00:00,0.4013323690066524,-0.12459287776595583,1
1989-12-17 09:00:00,0.3785966893127564,0.1263068538619274,1
1989-12-25 09:00:00,-0.4903185534251959,-0.14284644207692015,2
1989-12-26 09:00:00,-0.4866435323539943,-0.14788710526167614,2
1990-01-17 09:00:00,0.4848134073139172,0.194053882483056,1
1990-01-18 09:00:00,0.4208967181787917,0.42454947030671214,1
1990-01-19 09:00:00,0.03533930102360566,0.5423668383074779,3
1990-01-26 09:00:00,-0.16083308953675512,-0.04464086686291388,2
1990-02-05 09:00:00,0.2819882369795916,-0.6535345294809644,2
1990-02-06 09:00:00,0.2829202985152513,-0.4867201922751779,2
1990-02-07 09:00:00,0.06045792970857367,-0.3170546253290853,2
1990-02-11 09:00:00,-0.00974971962960128,-0.14512181314043365,2
1990-12-18 09:00:00,-0.11110102306581368,0.3734862741353139,3
