,EOF1,EOF2,LOC,AR_CAT
1979-03-08 09:00:00,-0.13285052394392552,0.545994391254963,R03,2
1979-03-09 09:00:00,-0.01775830846493494,0.43412332856484737,R03,2
1979-03-18 09:00:00,-0.4188987009722319,0.12327986828653713,R03,2
1979-03-28 09:00:00,-0.4035922714994032,-0.15886441275783364,R01,2
1979-04-05 09:00:00,-0.3149977359041627,0.21571601832913537,R03,2
1979-05-07 09:00:00,-0.3609284722330494,0.0013836344395073746,R01,2
1979-05-08 09:00:00,-0.3353577436368395,-0.054601743692768934,R01,2
1979-05-18 09:00:00,0.1325090189775177,-0.001564660245083712,R01,1
1980-03-01 09:00:00,0.21394313173315868,0.2629798090061505,R03,1
1980-03-03 09:00:00,0.41712164757824444,-0.051719718253483524,R01/R02,1
1980-03-05 09:00:00,-0.1473368980734949,0.10579534230283007,R02,2
1980-03-07 09:00:00,-0.40427614256149336,0.03346363813432821,R03,2
1980-03-20 09:00:00,0.11372978055203815,-0.4625152508139423,R01,1
1980-03-30 09:00:00,-0.06560291124498918,0.30448917512734386,R03,2
1980-04-05 09:00:00,-0.3810534279172634,-0.42517278889700216,R01,2
1980-04-17 09:00:00,0.3711722564694107,-0.36238220911617475,R01,1
1980-04-23 09:00:00,-0.6567208726693952,-0.20292371859196565,R03,2
1981-03-01 09:00:00,0.13549176601400947,0.32049389123078786,R03,1
1981-03-03 09:00:00,0.08171439028450973,-0.2104913166984666,R01,1
1981-03-04 09:00:00,-0.11023960985133789,-0.32613730678865244,R01,2
1981-03-28 09:00:00,0.43799227924326206,0.11424070480577972,R01,1
1981-03-29 09:00:00,0.247021624051271,0.22122184228800845,R01,1
1981-04-10 09:00:00,0.6080041891913397,0.22875794025228885,R01,1
1981-04-12 09:00:00,0.5224813271564805,0.03212235547526187,R01,1
1981-04-13 09:00:00,0.6153009773344835,-0.14079809404316174,R01,1
1981-04-14 09:00:00,0.5054718343763821,-0.045106098753817006,R01,1
1981-04-30 09:00:00,0.034477915373038896,-0.2735015230310779,R01,2
1981-05-01 09:00:00,0.10687989392191538,-0.40684714207051037,R01,1
1982-03-20 09:00:00,-0.0017553542233382468,-0.5446300431341569,R01,2
1982-03-21 09:00:00,-0.14365285497886868,-0.44610215729055464,R01,2
1982-03-28 09:00:00,0.555819829632959,-0.0996223262457155,R01/R02,1
1982-03-29 09:00:00,0.3457161859371486,-0.06754997510622768,R01/R02,1
1982-05-11 09:00:00,-0.2121809665509944,0.41728714003476214,R03,2
1983-03-01 09:00:00,0.12192722500037752,-0.07864315926612582,R02,1
1983-03-06 09:00:00,0.6410842559740566,0.0876373110947254,R01,1
1983-03-07 09:00:00,0.6118545798372199,-0.060913664149149005,R01,1
1983-03-15 09:00:00,0.20734177164160328,0.2950263362625673,R03,1
1983-03-20 09:00:00,-0.15790444598263437,0.7145838513242383,R02/R03,2
1983-03-21 09:00:00,0.07440902384347585,0.7576068049414394,R03,1
1983-03-24 09:00:00,-0.2169867472806816,0.09282596888345371,R01,2
1983-03-25 09:00:00,-0.4776907974674337,0.02984938566554397,R02,2
1983-04-08 09:00:00,-0.2945719487249903,0.49119970922167344,R03,2
1983-04-09 09:00:00,-0.12763531832265437,0.6186755419176649,R03,2
1983-04-15 09:00:00,-0.5362724775817497,0.29782921551122293,R02/R03,2
1983-04-16 09:00:00,-0.45600318050747257,0.4283282073743969,R03,2
1983-04-29 09:00:00,0.039699812242928526,0.25582499945933523,R03,1
1983-05-30 09:00:00,0.04860312540628812,-0.23915946235564528,R01,2
1984-03-15 09:00:00,0.12326506619197833,-0.5881113382239376,R01,1
1984-03-16 09:00:00,0.03312896244861881,-0.6154550182245321,R01,2
1984-03-17 09:00:00,-0.06927879422677513,-0.41241398806157753,R01,2
1984-03-27 09:00:00,0.2819166138047462,-0.20462167318744612,R01,1
1984-03-31 09:00:00,-0.19691154508796593,-0.1880858288590111,R01,2
1984-04-03 09:00:00,-0.5686975046650279,0.06806855677136293,R03,2
1984-04-12 09:00:00,0.15339882778452357,-0.21977851831502282,R01,1
1985-03-04 09:00:00,0.3048806253935141,-0.3384122342798576,R01,1
1985-03-25 09:00:00,0.014960398477423434,-0.387075873014433,R01,2
1985-03-26 09:00:00,-0.062180020170291665,-0.3811113948898035,R01,2
1985-04-09 09:00:00,0.1181723521550354,0.453141197546329,R02,1
1985-05-25 09:00:00,-0.275057257120179,0.1388795113244948,R03,2
1986-03-09 09:00:00,-0.41171039578969987,-0.32462620851767915,R01,2
1986-03-10 09:00:00,-0.26459617860894574,-0.48238398596353604,R01,2
1986-03-12 09:00:00,-0.0856198153003996,-0.4861842225351075,R01,2
1986-03-13 09:00:00,-0.03054437930514197,-0.30610703746092227,R01,2
1986-03-26 09:00:00,-0.14490193574607546,-0.32683546972875027,R01,2
1986-03-27 09:00:00,-0.24719894495627578,-0.1931419621776065,R01/R02,2
1986-03-31 09:00:00,-0.3105141985773076,0.5507447830379959,R03,2
1986-04-11 09:00:00,-0.48535257440677887,-0.22043446798615987,R01,2
1986-04-16 09:00:00,-0.4000456148280651,0.09315783519653893,R03,2
1986-04-17 09:00:00,-0.3147478669029529,0.17386181842140788,R03,2
1986-04-25 09:00:00,-0.3139903957497423,0.45679354588730153,R02,2
1987-03-05 09:00:00,-0.17250468745451525,0.08654725682162798,R01,2
1987-03-15 09:00:00,0.09700400717471802,-0.3891669612966066,R01,1
1987-03-22 09:00:00,-0.4156285919663083,-0.38727096653323806,R01,2
1987-03-27 09:00:00,0.3620569361240372,-0.2187254721881983,R01,1
