,LOC,EOF1,EOF2,EOF3,EOF4,AR_CAT
1979-12-01 09:00:00,R03,0.12279721080955809,0.47193210559853127,0.24062782551255738,-0.24062250197105575,1
1979-12-02 09:00:00,R01,0.03130889291330523,0.3254836523571514,0.005130296687487561,-0.21153579610681367,1
1980-01-24 09:00:00,R01,0.24916566371947416,-0.20085829966026514,0.16661000354013172,-0.15474592058657044,4
1980-01-25 09:00:00,R01,0.07521147160272877,-0.45002569340232307,-0.0686086220184427,-0.11248793424633888,4
1980-02-12 09:00:00,R01,0.41294049075243966,0.23878778827726932,-0.178650832926828,0.23873753236786502,1
1980-02-13 09:00:00,R01,-0.02901358460350446,0.18237499960865947,-0.20508631127295504,0.2244615421081801,3
1980-02-25 09:00:00,R01,0.24383135300129172,-0.5220948174260142,0.22559066788279186,-0.09419870492142393,4
1980-02-26 09:00:00,R01,0.09487894631296916,-0.5874579378745695,-0.11177015095334526,-0.005174040790011155,4
1980-12-13 09:00:00,R01,0.14374732848815322,0.19226444099172604,-0.04851775896685803,-0.4875397364757181,1
1980-12-23 09:00:00,R02,-0.4924989061215155,0.3003307102160008,-0.24895762266681987,-0.14698043289393828,3
1981-01-27 09:00:00,R01,0.4402134710923934,0.2002198007673823,0.20641821261009632,-0.1357090372238097,1
1981-02-10 09:00:00,R01,0.09981433786696808,0.22144328049705128,0.455249551383427,-0.22924115603970396,1
1981-02-11 09:00:00,R01,0.2746283808598884,-0.22705148980669848,0.1829342130198634,-0.5019995357563005,4
1981-12-10 09:00:00,R03,-0.30678430522222133,0.3975598998219051,0.10648530154172622,-0.3405438616610261,2
1981-12-11 09:00:00,R03,-0.32411942609938904,0.48603526922901996,0.03573987869147465,-0.1783563725202617,2
1982-01-29 09:00:00,R01,0.16881649063519003,0.1275243068299705,-0.06419845841103355,0.12553718852907397,1
1982-02-09 09:00:00,R01,0.43842632064611164,-0.3103918077147535,0.10109333228450973,-0.13344995408475466,4
1982-02-17 09:00:00,R03,-0.15567960293468205,-0.32311619461471147,0.02941455162067077,-0.02127370854259155,4
1982-02-18 09:00:00,R03,-0.180667481715737,-0.5467850894686818,-0.022059406056192336,0.008750236836472549,4
1982-12-08 09:00:00,R01,0.25297391310314526,0.27792582521517484,-0.2019926746110888,0.10300817413694068,1
1982-12-09 09:00:00,R02,0.2936556816236258,0.24321132910399856,-0.2283941319968838,0.07771950601774458,1
1983-01-25 09:00:00,R01,-0.061478057550680684,-0.010233421289578657,-0.07779962132416923,0.01805744290102682,3
1983-01-27 09:00:00,R02,-0.06692931878574786,-0.37570691644980403,-0.039238110194601654,0.3051676874591989,4
1983-02-27 09:00:00,R01,0.14824856666382832,-0.48576204816886626,0.44857743408109,-0.13041859433466302,4
1983-02-28 09:00:00,R01/R02,0.1539505424053497,-0.6495021367217945,-0.029425051339830716,-0.11388516810019719,4
1983-12-25 09:00:00,R03,-0.5059005831171937,0.26165574050532714,0.25733765094989236,0.09271650092892798,2
1983-12-26 09:00:00,R03,-0.4480778120708071,0.23528699058303262,0.41682682561737017,-0.1658975555141656,2
1983-12-27 09:00:00,R03,-0.28193924958230765,0.064704465317482,0.2696632593417901,-0.31067253525479005,2
1984-01-16 09:00:00,R03,-0.42858921478130196,0.10700156566752034,0.49701279338571913,-0.05899095260058652,2
1984-01-17 09:00:00,R03,-0.10297079032774907,-0.1707167986565587,0.3427153548506663,-0.16833710510186575,2
1984-02-19 09:00:00,R02,-0.5879939067557101,0.022313965714289025,-0.08497737665551129,0.18881333464937766,3
1984-02-20 09:00:00,R03,-0.4839719492795069,0.005010920841144509,0.030804015132735372,0.2868632923504504,3
1984-12-07 09:00:00,R01,0.1330074677714319,0.33750783209558227,0.09556333755072906,-0.361301487294738,1
1984-12-09 09:00:00,R02,0.25759015494079596,0.10601356551119333,0.05816931415232897,-0.484279809249119,1
1984-12-10 09:00:00,R01/R02,0.332848260529202,-0.035966929427139485,0.0963005030741081,-0.4246018622508342,1
1984-12-13 09:00:00,R03,-0.28862096942502685,-0.08641460708877782,0.49447340921577543,-0.28281793444977005,2
1984-12-14 09:00:00,R03,-0.30474555133190145,-0.06604452082964611,0.30100495613067196,-0.383207351902727,2
1985-01-17 09:00:00,R01,0.04645202693695036,0.022880343456622616,-0.43301367077844255,0.20876442021408723,3
1985-02-02 09:00:00,R01,0.1049668893171534,0.012818492574523558,0.5004805045388394,0.2835142255829646,4
1985-12-06 09:00:00,R01,-0.04637171127137591,0.27471451675811914,-0.3586598044132686,-0.4698167144360323,1
1985-12-19 09:00:00,R01,0.3717627638245366,0.2886909713052617,0.22765932683429937,-0.28353580189705757,1
1985-12-20 09:00:00,R01,0.43396523261409925,0.2082745572911854,0.049619160336788225,-0.19340848226523788,1
1985-12-21 09:00:00,R01,0.264259524092413,0.3687513842404652,-0.007100741738844503,-0.016154674618360176,1
1985-12-26 09:00:00,R02,-0.12759082277215775,0.1941534345742818,-0.1229654960740873,0.13437170693161354,3
1986-02-09 09:00:00,R02,-0.4578120436916815,0.20759839495003907,-0.1449917741558296,0.3353073725463148,3
1986-12-03 09:00:00,R01,0.34241728158627927,0.2963326279296973,0.03229887474715755,-0.20937961911931072,1
1986-12-04 09:00:00,R01,0.33401272863339765,0.2672353242582786,0.08321302754111191,-0.33796279557699893,1
1986-12-05 09:00:00,R01,0.3672851626674177,-0.0686263485254527,0.12729013132990444,-0.3543989195710288,1
1986-12-06 09:00:00,R01,0.33584398493332923,0.08071957309882692,-0.09588254552080828,-0.09930886723852672,1
