0.5877,-0.0833
0.3176,0.1419
0.2845,-0.3320
0.0581,0.2420
-0.2250,-0.0191
0.3988,-0.1165
0.0977,0.0826
0.4186,-0.2028
-0.7162,0.0158
-0.0782,-0.3510
0.4225,-0.3307
0.4709,0.0767
-0.5067,-0.0849
-0.4235,0.1062
0.5278,-0.1941
0.0471,0.0432
-0.0979,0.1227
0.2109,0.2635
0.4355,-0.0214
0.2944,-0.1849
0.4562,-0.3615
0.4389,0.1180
-0.2040,-0.6362
0.0767,-0.6407
0.1538,-0.2404
-0.3312,-0.5380
-0.1290,-0.5554
-0.6782,0.0183
-0.6386,-0.0814
0.4853,-0.0565
0.4763,-0.1220
0.3277,-0.2415
-0.1711,-0.7271
-0.0998,-0.4990
0.1470,0.4614
0.4281,-0.4197
0.4723,0.0007
0.2896,0.0188
-0.4304,0.2800
0.5444,-0.0959
0.7096,0.0187
0.6266,0.2699
0.3293,0.3466
-0.2556,-0.1158
0.2724,0.4871
-0.4646,0.1527
-0.3274,-0.2429
0.5495,0.0767
0.6392,0.2345
0.4516,0.5760
0.2607,0.7314
-0.1483,0.4769
0.2702,-0.1669
-0.0120,-0.0310
-0.3236,-0.6562
-0.2595,-0.3798
-0.1423,-0.0620
0.5598,-0.3508
0.6121,-0.0753
0.3852,-0.1284
0.3246,0.2748
-0.4254,0.0097
-0.3140,-0.3540
0.6758,-0.0215
0.5134,0.0612
0.0274,-0.7607
0.4311,0.1862
0.4367,0.0545
0.4108,0.2159
0.4013,-0.1246
0.3786,0.1263
-0.4903,-0.1428
-0.4866,-0.1479
0.4848,0.1941
0.4209,0.4245
0.0353,0.5424
-0.1608,-0.0446
0.2820,-0.6535
0.2829,-0.4867
0.0605,-0.3171
-0.0097,-0.1451
-0.1111,0.3735
0.0429,0.3983
-0.1255,0.3307
-0.5201,0.0613
-0.5603,-0.3094
-0.3226,-0.4146
0.2991,-0.2754
0.6059,-0.0864
0.7392,0.1945
0.6413,0.4730
0.3580,0.0835
0.3093,0.3533
0.1358,0.3810
-0.4647,0.2308
-0.4829,-0.4830
0.4541,-0.0203
0.1931,-0.0456
-0.2723,-0.1159
-0.0609,-0.0394
0.1384,-0.0612
0.2904,-0.1054
0.4140,-0.1919
0.5685,-0.0674
0.6003,0.2942
-0.3854,-0.4982
-0.3419,-0.3114
0.7452,-0.3140
0.6481,0.1074
0.3079,0.1695
0.2930,0.0818
0.4624,0.3932
0.4871,0.4253
0.4306,0.4351
0.0792,0.3886
0.0196,0.4030
-0.0187,0.2232
0.3958,0.0437
0.4658,-0.5494
0.6797,-0.2927
0.4371,-0.0811
0.3398,0.2873
0.1736,0.4737
-0.0084,-0.1643
-0.3915,-0.5265
-0.2557,-0.6401
0.0595,-0.6583
0.3222,-0.5015
0.1401,0.1477
0.5948,-0.0884
0.6782,0.0003
0.6487,0.1053
0.6222,0.1863
0.4407,-0.1775
-0.2558,-0.1916
-0.2506,-0.3069
-0.3735,-0.1892
-0.6797,0.4359
-0.7114,0.3255
-0.6630,0.2195
-0.6517,0.1478
-0.4747,-0.6005
-0.3592,-0.3328
0.0762,0.3069
0.1192,0.4081
-0.1372,0.4057
-0.2915,0.1372
-0.0311,0.2299
-0.5627,0.1555
-0.5773,-0.2010
-0.2219,-0.5153
0.6681,-0.0493
0.5905,-0.0090
0.3725,0.0157
-0.7216,0.1177
