,LOC,EOF1,EOF2,AR_CAT,EOF_CAT1,EOF_CAT2,EOF_CAT
1979-12-01 09:00:00,R03,-0.44051479282126044,0.12151669210762982,1,1,0,1
1979-12-02 09:00:00,R01,-0.25241578711830154,-0.10089571502991876,1,0,0,0
1980-01-24 09:00:00,R01,-0.26358602174970236,0.28419872809380936,1,0,0,0
1980-01-25 09:00:00,R01,-0.24745984952703703,0.11247653949378524,1,0,0,0
1980-02-12 09:00:00,R01,-0.11191708116872906,-0.20678937157723876,4,0,0,0
1980-02-13 09:00:00,R01,0.1584405131240089,-0.013743888099753307,3,0,0,0
1980-02-25 09:00:00,R01,-0.3497848772095339,0.0539830881342433,1,0,0,0
1980-02-26 09:00:00,R01,-0.1241259238745894,-0.13019575680622736,4,0,0,0
1980-12-13 09:00:00,R01,-0.3935685328166063,0.18710522328325901,1,1,0,1
1980-12-23 09:00:00,R02,0.6574537495956806,-0.06283233041345461,3,1,0,1
1981-01-27 09:00:00,R01,0.06390172927008787,0.31350376741890296,2,0,1,2
1981-02-10 09:00:00,R01,-0.3586444322913845,0.37665437110355765,1,0,1,2
1981-02-11 09:00:00,R01,-0.44819163406073026,0.032086243729647544,1,1,0,1
1981-12-10 09:00:00,R03,0.4312885366205659,0.07721138970125808,3,1,0,1
1981-12-11 09:00:00,R03,0.43620420856033676,0.08236387637999165,3,1,0,1
1982-01-29 09:00:00,R01,0.3586185013336049,-0.11163890768254811,3,1,0,1
1982-02-09 09:00:00,R01,-0.47045474674475557,0.195039240432942,1,1,0,1
1982-02-17 09:00:00,R03,-0.05866629796571604,-0.08891851696420378,4,0,0,0
1982-02-18 09:00:00,R03,0.05803716085230754,-0.16391539786051765,4,0,0,0
1982-12-08 09:00:00,R01,-0.20840047675120565,-0.2898482269078677,4,0,0,0
1982-12-09 09:00:00,R02,-0.18999842873786055,-0.37018332936989157,4,0,1,2
1983-01-25 09:00:00,R01,-0.36615238272850903,0.030017616247056417,1,0,0,0
1983-01-27 09:00:00,R02,-0.2587300877019838,0.1422101295215575,1,0,0,0
1983-02-27 09:00:00,R01,-0.39707007380668213,0.3499814376464205,1,1,1,2
1983-02-28 09:00:00,R01/R02,-0.4291425795237719,-0.06305998241602746,1,1,0,1
1983-12-25 09:00:00,R03,0.2384651420135571,0.5422205443291832,2,0,1,2
1983-12-26 09:00:00,R03,-0.0016063277769262673,0.6029969773017041,2,0,1,2
1983-12-27 09:00:00,R03,-0.12391571157171254,0.2774956679995737,1,0,0,0
1984-01-16 09:00:00,R03,0.3292798968558785,0.5293583552504189,2,0,1,2
1984-01-17 09:00:00,R03,0.11355401715492275,0.5374049922342334,2,0,1,2
1984-02-19 09:00:00,R02,0.6538552341744938,-0.012806454507864926,3,1,0,1
1984-02-20 09:00:00,R03,0.6210980141755382,0.08355332294760348,3,1,0,1
1984-12-07 09:00:00,R01,-0.4223564287853566,0.00886238591378473,1,1,0,1
1984-12-09 09:00:00,R02,-0.46238335291377924,0.07942096513359452,1,1,0,1
1984-12-10 09:00:00,R01/R02,-0.3570893517286688,0.17403526964229316,1,0,0,0
1984-12-13 09:00:00,R03,0.0911585128418008,0.6307708810268621,2,0,1,2
1984-12-14 09:00:00,R03,0.003191868351450294,0.4564664702403394,2,0,1,2
1985-01-17 09:00:00,R01,0.1875196008667602,-0.47005546700479367,4,0,1,2
1985-02-02 09:00:00,R01,-0.15930620128700076,0.6208447284024764,2,0,1,2
1985-12-06 09:00:00,R01,-0.16565212392215256,-0.39730899652389484,4,0,1,2
1985-12-19 09:00:00,R01,-0.3418203006175889,0.39927028920929136,1,0,1,2
1985-12-20 09:00:00,R01,-0.4489137876056994,0.035073690986240254,1,1,0,1
1985-12-21 09:00:00,R01,-0.31193163657355827,0.0039926950347313845,1,0,0,0
1985-12-26 09:00:00,R02,0.24066437264434015,0.3572835072426323,2,0,1,2
1986-02-09 09:00:00,R02,0.4092862780644207,-0.23442233706280258,3,1,0,1
1986-12-03 09:00:00,R01,-0.516424802619494,0.06672222238129726,1,1,0,1
1986-12-04 09:00:00,R01,-0.6485304913591098,-0.01188494259699673,1,1,0,1
1986-12-05 09:00:00,R01,-0.5947573241388441,-0.198372948593425,1,1,0,1
1986-12-06 09:00:00,R01,-0.36258637416545164,-0.2728371111359804,4,0,0,0
1986-12-13 09:00:00,R02,0.2004890380712592,-0.047400551878406465,3,0,0,0
1987-02-11 09:00:00,R01,-0.2570908737725691,-0.39188983437882285,4,0,1,2
1987-12-11 09:00:00,R02,0.43914866001965164,-0.13644731666790638,3,1,0,1
1987-12-29 09:00:00,R01,-0.48693920683946285,-0.0874779196596554,1,1,0,1
1987-12-30 09:00:00,R01,-0.5681065262317753,-0.24295926068062768,1,1,0,1
1987-12-31 09:00:00,R01,-0.4452894805966937,-0.5358677053291812,4,1,1,2
1988-01-01 09:00:00,R01,-0.2762228413753339,-0.6744985730154801,4,0,1,2
1988-01-20 09:00:00,R01,0.09941283407088342,-0.4736338642888556,4,0,1,2
1988-02-18 09:00:00,R01,-0.2525141906706437,0.15911731416815175,1,0,0,0
1988-02-19 09:00:00,R01,-0.047507350617950035,0.025236053722937583,1,0,0,0
1988-02-23 09:00:00,R03,0.2697014054498762,0.5764329758852823,2,0,1,2
1988-02-24 09:00:00,R03,0.20871578304730706,0.3674370961844657,2,0,1,2
1988-12-20 09:00:00,R01,0.08105620380306482,0.048204239896650604,2,0,0,0
1988-12-27 09:00:00,R01,-0.49682079336446755,0.3211542443045818,1,1,1,2
