,LOC,EOF1,EOF2,EOF3,EOF4,AR_CAT
1979-12-01 09:00:00,R03,-0.5931120902363518,-0.07987554009241336,0.05111886545053487,-0.1902232075105702,1
1979-12-02 09:00:00,R01,-0.3292843610411216,0.14997540771929876,-0.05496222339049288,-0.39231945695320586,1
1980-01-24 09:00:00,R01,-0.2907040265466494,-0.3468664016986003,-0.14639655583460875,0.3028624495517816,1
1980-01-25 09:00:00,R01,-0.25572642309330457,-0.170104289523432,-0.3240630865640363,0.378544254251971,1
1980-02-12 09:00:00,R01,-0.06867059125918212,0.24030658334165575,0.10164345686078831,0.1243102501945912,1
1980-02-13 09:00:00,R01,0.21605238034564825,-0.02197673077287084,0.10544107834833912,-0.1148044553881059,3
1980-02-25 09:00:00,R01,-0.410258461210535,-0.07634997733743751,0.13446053629313245,-0.23681343045058076,1
1980-02-26 09:00:00,R01,-0.11620797393018008,0.10972039413622757,0.26133027561138683,-0.34710986585613157,1
1980-12-13 09:00:00,R01,-0.4307793285332922,-0.2038570481332433,0.012163405835708118,-0.044294842267703714,1
1980-12-23 09:00:00,R02,0.7081473851313133,0.03681336925102865,0.02626105950459969,-0.26272522295036005,3
1981-01-27 09:00:00,R01,0.06161615006655249,-0.34478197348853046,0.4253096451200559,-0.0216172819229009,2
1981-02-10 09:00:00,R01,-0.41770191508447546,-0.33065951707339375,0.09092610073038056,0.3209320640151979,1
1981-02-11 09:00:00,R01,-0.46703977503944344,0.06527461206045032,-0.08179510295695233,0.5420238833465141,1
1981-12-10 09:00:00,R03,0.505574200849146,-0.09842783074010893,0.24017109028627737,0.31928742832765195,3
1981-12-11 09:00:00,R03,0.513291103169011,-0.10257510933766123,0.15221105301561605,0.44394977916624,3
1982-01-29 09:00:00,R01,0.4079611339372562,0.12285317289478058,0.3443114106353917,-0.23481371164531314,3
1982-02-09 09:00:00,R01,-0.5335000255016864,-0.1879112199951709,-0.09005357203196752,-0.03987373733399263,1
1982-02-17 09:00:00,R03,-0.05447622214344573,0.070576063227293,-0.27594622082577314,-0.04753321350622036,1
1982-02-18 09:00:00,R03,0.08951309380794814,0.14718065718532244,-0.3473724488115678,-0.17597684892416765,3
1982-12-08 09:00:00,R01,-0.2184900119750025,0.26545489717334775,-0.2867832682285793,-0.03414889709262952,1
1982-12-09 09:00:00,R02,-0.1831345555733215,0.3818088802331726,-0.4206423111999837,0.1600633464157495,1
1983-01-25 09:00:00,R01,-0.44259440088370894,0.00131914997834364,-0.013759665905577924,-0.5107486040964414,1
1983-01-27 09:00:00,R02,-0.299789934486794,-0.17744208631676503,-0.3116037511363643,-0.5028737627046969,1
1983-02-27 09:00:00,R01,-0.4592068668208576,-0.3430205998327005,0.08778099540861348,-0.07098220686175792,1
1983-02-28 09:00:00,R01/R02,-0.4480181013575696,0.12337453081809432,0.03671106121954149,-0.07320610437436818,1
