,LOC,EOF1,EOF2,AR_CAT,EOF_CAT1,EOF_CAT2,EOF_CAT
1979-12-01 09:00:00,R03,-0.2769875180000286,0.1899182061116938,1,0,0,0
1979-12-02 09:00:00,R01,-0.20556008029567294,-0.1514257767182256,1,0,0,0
1980-01-24 09:00:00,R01,-0.2794317178511031,0.16365858566645705,1,0,0,0
1980-01-25 09:00:00,R01,-0.15275292502743218,0.02251818707226352,1,0,0,0
1980-02-12 09:00:00,R01,-0.20386311241501937,-0.1559120542589962,1,0,0,0
1980-02-13 09:00:00,R01,0.0045573925240614006,-0.1892785056173477,1,0,0,0
1980-02-25 09:00:00,R01,-0.21387031380987562,-0.04253903186891072,1,0,0,0
1980-02-26 09:00:00,R01,-0.015229172272337752,-0.270985577465915,1,0,1,2
1980-12-13 09:00:00,R01,-0.37485848273763006,0.14636617489678108,1,1,0,1
1980-12-23 09:00:00,R02,0.5874925591183945,-0.10092960948211176,2,1,0,1
1981-01-27 09:00:00,R01,0.0081189601840476,0.22785263927404412,2,0,0,0
1981-02-10 09:00:00,R01,-0.17213144043773476,0.5276500034641013,1,0,1,2
1981-02-11 09:00:00,R01,-0.2657194221063951,0.25247977417246475,1,0,0,0
1981-12-10 09:00:00,R03,0.406658648804953,0.17270725743456639,2,1,0,1
1981-12-11 09:00:00,R03,0.3251182469667531,0.22354729847349175,2,1,0,1
1982-01-29 09:00:00,R01,0.24151977402539074,0.023866256307086994,2,0,0,0
1982-02-09 09:00:00,R01,-0.49962210533342544,0.17218649290785468,1,1,0,1
1982-02-17 09:00:00,R03,-0.015487104295102574,-0.1335531045932656,1,0,0,0
1982-02-18 09:00:00,R03,0.02714499351229539,-0.27559934988776197,1,0,1,2
1982-12-08 09:00:00,R01,-0.22232010925903026,-0.12191608485949347,1,0,0,0
1982-12-09 09:00:00,R02,-0.21536251342657534,-0.1274770583989815,1,0,0,0
1983-01-25 09:00:00,R01,-0.33136092549173135,-0.07406561599047301,1,1,0,1
1983-01-27 09:00:00,R02,-0.19493456767068584,0.10345801320664767,1,0,0,0
1983-02-27 09:00:00,R01,-0.34873551681712717,0.3289883241198212,1,1,1,2
