,EOF1,EOF2,EOF3,EOF4,LOC,AR_CAT
1979-03-08 09:00:00,-0.13285052394392552,0.545994391254963,-0.013169530871061269,0.05581131880346561,R03,1
1979-03-09 09:00:00,-0.01775830846493494,0.43412332856484737,0.19248601644442861,0.1629357869847358,R03,1
1979-03-18 09:00:00,-0.4188987009722319,0.12327986828653713,0.4303922264376578,0.1904400152607547,R03,3
1979-03-28 09:00:00,-0.4035922714994032,-0.15886441275783364,0.443721460853591,0.11651043105611,R01,3
1979-04-05 09:00:00,-0.3149977359041627,0.21571601832913537,-0.007573469569518475,0.09857240252093191,R03,1
1979-05-07 09:00:00,-0.3609284722330494,0.0013836344395073746,0.3857908815334792,-0.1401610125768633,R01,3
1979-05-08 09:00:00,-0.3353577436368395,-0.054601743692768934,0.32591276774872663,-0.19331158471283721,R01,3
1979-05-18 09:00:00,0.1325090189775177,-0.001564660245083712,-0.18090626349263336,-0.1250155760337543,R01,2
1980-03-01 09:00:00,0.21394313173315868,0.2629798090061505,-0.32107655942004726,0.39359853178301424,R03,1
1980-03-03 09:00:00,0.41712164757824444,-0.051719718253483524,0.24496636538539826,0.20359724005066773,R01/R02,4
1980-03-05 09:00:00,-0.1473368980734949,0.10579534230283007,0.169961173582032,0.08624444494388775,R02,3
1980-03-07 09:00:00,-0.40427614256149336,0.03346363813432821,-0.21049004309246425,-0.21575340325339218,R03,2
1980-03-20 09:00:00,0.11372978055203815,-0.4625152508139423,0.016018775969767095,0.28912824347701915,R01,2
1980-03-30 09:00:00,-0.06560291124498918,0.30448917512734386,-0.20958490147090147,0.26500277445816295,R03,1
1980-04-05 09:00:00,-0.3810534279172634,-0.42517278889700216,-0.21500701484314114,0.15685275541102783,R01,2
1980-04-17 09:00:00,0.3711722564694107,-0.36238220911617475,0.017955967659183406,0.3620859653216285,R01,4
1980-04-23 09:00:00,-0.6567208726693952,-0.20292371859196565,-0.21069936837815129,0.32634957297005524,R03,2
1981-03-01 09:00:00,0.13549176601400947,0.32049389123078786,0.13719191001431555,0.33841519417405097,R03,1
1981-03-03 09:00:00,0.08171439028450973,-0.2104913166984666,0.3911922575414379,0.3812536644851399,R01,3
1981-03-04 09:00:00,-0.11023960985133789,-0.32613730678865244,0.19966232933573705,0.13714483882117534,R01,3
1981-03-28 09:00:00,0.43799227924326206,0.11424070480577972,0.33300894654545393,-0.050628996016087814,R01,4
1981-03-29 09:00:00,0.247021624051271,0.22122184228800845,0.3446230579593637,-0.1854588066376453,R01,4
1981-04-10 09:00:00,0.6080041891913397,0.22875794025228885,0.0440312400764078,0.08989365464913877,R01,4
1981-04-12 09:00:00,0.5224813271564805,0.03212235547526187,0.011021464118770722,0.1579408203982207,R01,4
1981-04-13 09:00:00,0.6153009773344835,-0.14079809404316174,0.02313824851372296,-0.06258143397823443,R01,4
1981-04-14 09:00:00,0.5054718343763821,-0.045106098753817006,-0.057617495737904305,-0.14786111647753244,R01,4
1981-04-30 09:00:00,0.034477915373038896,-0.2735015230310779,0.014512754680601396,0.5816964597764456,R01,2
1981-05-01 09:00:00,0.10687989392191538,-0.40684714207051037,0.11217689614703001,0.5938862177864987,R01,4
1982-03-20 09:00:00,-0.0017553542233382468,-0.5446300431341569,-0.22503405087587722,-0.019350521852535364,R01,2
1982-03-21 09:00:00,-0.14365285497886868,-0.44610215729055464,-0.4437299269881781,-0.13028297381222836,R01,2
1982-03-28 09:00:00,0.555819829632959,-0.0996223262457155,0.4300549404453104,-0.20615510125075223,R01/R02,4
1982-03-29 09:00:00,0.3457161859371486,-0.06754997510622768,0.5586924597950393,-0.14032025199568718,R01/R02,4
1982-05-11 09:00:00,-0.2121809665509944,0.41728714003476214,0.5527824552378899,-0.08347552713389897,R03,3
1983-03-01 09:00:00,0.12192722500037752,-0.07864315926612582,-0.18689638632210087,-0.22616138773490743,R02,2
1983-03-06 09:00:00,0.6410842559740566,0.0876373110947254,0.01759037587391394,0.2536725049512532,R01,4
1983-03-07 09:00:00,0.6118545798372199,-0.060913664149149005,-0.09348028791138643,-0.0742712604636082,R01,4
1983-03-15 09:00:00,0.20734177164160328,0.2950263362625673,0.24564148682642,0.006004187342432649,R03,1
1983-03-20 09:00:00,-0.15790444598263437,0.7145838513242383,-0.38254986735570295,-0.15385507594126455,R02/R03,1
1983-03-21 09:00:00,0.07440902384347585,0.7576068049414394,-0.17965057646269048,0.07466671031572249,R03,1
1983-03-24 09:00:00,-0.2169867472806816,0.09282596888345371,0.6068400805137557,-0.22429168623981774,R01,3
1983-03-25 09:00:00,-0.4776907974674337,0.02984938566554397,0.49291815426056834,-0.3496662331330658,R02,3
1983-04-08 09:00:00,-0.2945719487249903,0.49119970922167344,-0.0020268449668117625,-0.25502603804490603,R03,1
1983-04-09 09:00:00,-0.12763531832265437,0.6186755419176649,-0.006140646672630747,-0.24308870260981236,R03,1
1983-04-15 09:00:00,-0.5362724775817497,0.29782921551122293,-0.3227306469261729,-0.11391837529378372,R02/R03,1
1983-04-16 09:00:00,-0.45600318050747257,0.4283282073743969,-0.44186859031896486,0.044510172649551115,R03,1
1983-04-29 09:00:00,0.039699812242928526,0.25582499945933523,0.41382200285800713,-0.11336926942707798,R03,3
1983-05-30 09:00:00,0.04860312540628812,-0.23915946235564528,-0.21052879916848688,-0.14967950765390647,R01,2
1984-03-15 09:00:00,0.12326506619197833,-0.5881113382239376,0.018710747211522844,0.21379389805177798,R01,2
1984-03-16 09:00:00,0.03312896244861881,-0.6154550182245321,-0.10968396437162699,0.15353986038631878,R01,2
