,LOC,EOF1,EOF2,EOF3,EOF4,AR_CAT
1979-03-08 09:00:00,R03,0.2915408636947008,0.5063275287685854,-0.11273807929075935,0.08045638792381235,3
1979-03-09 09:00:00,R03,0.08848498038628134,0.4593099758940338,-0.28262798543758316,-0.1156546408735282,3
1979-03-18 09:00:00,R03,0.3483548084666072,-0.04232175618434741,-0.4870695799388106,-0.2790160156026649,2
1979-03-28 09:00:00,R01,0.24867418008558712,-0.2271437478034989,-0.5100715915149829,-0.2710799422817229,2
1979-04-05 09:00:00,R03,0.41706309137605974,0.12432981507647453,-0.08357331939975247,-0.16069267865473355,2
1979-05-07 09:00:00,R01,0.28082881563286294,-0.08581894029027347,-0.4785667508123745,0.020302364704057666,2
1979-05-08 09:00:00,R01,0.2655613259209966,-0.15245057159316977,-0.4155875921981845,0.10147035116555354,2
1979-05-18 09:00:00,R01,-0.009945766207406469,0.047601262990400406,0.16164352701082638,0.17284275717796246,4
1979-12-01 09:00:00,R03,-0.6705287813259925,0.039660953055478634,0.11387631671090713,0.10523568348553759,1
1979-12-02 09:00:00,R01,-0.3825515679095622,-0.08584459998948543,0.28134508858747265,0.40554534634057976,1
1980-01-24 09:00:00,R01,-0.3349637301262985,0.22396213423774383,-0.31668936686649407,-0.16368408800024598,1
1980-01-25 09:00:00,R01,-0.2314933036407736,0.10322780314907931,-0.43101564490724015,-0.03187502468378492,1
1980-02-12 09:00:00,R01,-0.09605458949358778,-0.2831396459865081,0.11537949379826487,-0.06599168839973972,4
1980-02-13 09:00:00,R01,0.10856907542282868,0.08489236666425867,0.3024140708216025,0.04326836432189998,4
1980-02-25 09:00:00,R01,-0.48140442796750094,-0.02211524603222256,0.16035235416275848,0.012916956723417347,1
1980-02-26 09:00:00,R01,-0.2128563818498224,-0.125623294592358,0.4309934837714922,0.08899662506868716,4
1980-03-01 09:00:00,R03,-0.041114671574959856,0.4531527426778962,0.334873965506308,-0.18222463182195117,3
1980-03-03 09:00:00,R01/R02,-0.4517126434660039,0.0799577144249945,-0.11628810304447783,-0.25797462591300835,1
1980-03-05 09:00:00,R02,0.12443316148246639,-0.01822567407330021,-0.19608426673719667,-0.06724399785655019,2
1980-03-07 09:00:00,R03,0.48010383932096445,-0.11846074148355473,0.03476755181974024,0.19738564676954082,2
1980-03-20 09:00:00,R01,-0.14553424171627394,-0.39532113669822283,0.15950987182929702,-0.36621905938830546,4
1980-03-30 09:00:00,R03,0.251414248410196,0.3708408009121046,0.09181232999542908,-0.21399708350050978,3
1980-04-05 09:00:00,R01,0.40092088083223854,-0.3892707472311492,0.16343945902954402,-0.2623078054347258,2
1980-04-17 09:00:00,R01,-0.33402825535474945,-0.20037216897074284,0.21559866983806544,-0.35640041455458704,1
1980-04-23 09:00:00,R03,0.648635819507642,-0.2608088867938389,0.07209464411023157,-0.3618615918599448,2
1980-12-13 09:00:00,R01,-0.5060440694492563,0.14861210122977575,0.030889469919389394,-0.011585193421165525,1
1980-12-23 09:00:00,R02,0.5959931076493923,0.10728603983974798,0.3862331217069188,0.1701803999970006,3
1981-01-27 09:00:00,R01,-0.0726995388979214,0.24522503626124792,0.40161142402766287,-0.31180697788302514,3
1981-02-10 09:00:00,R01,-0.5081100564161414,0.20989264143482436,-0.23641333047912316,-0.287075322704601,1
1981-02-11 09:00:00,R01,-0.42120661227425127,-0.1932734225135019,-0.4510521936538762,-0.23030099538284599,1
1981-03-01 09:00:00,R03,-0.09798795165122752,0.4175331296650662,-0.18365079378677143,-0.2918204283965839,3
1981-03-03 09:00:00,R01,-0.15487861313872867,-0.10970621748518652,-0.29240852526837624,-0.5079141839098781,1
1981-03-04 09:00:00,R01,0.06299904070181142,-0.3100773337114152,-0.18064974302625422,-0.3197465909659123,2
1981-03-28 09:00:00,R01,-0.3907698880248624,0.23748944068309785,-0.2855318398096916,-0.010730617005956778,1
1981-03-29 09:00:00,R01,-0.20093403958243156,0.18793292864760444,-0.3535484126593117,0.13162474216571995,1
1981-04-10 09:00:00,R01,-0.5213439442236972,0.38716583177989583,0.0060155887362606094,-0.08650851690324295,1
1981-04-12 09:00:00,R01,-0.4550876795225586,0.21617088399802672,0.07934547429011218,-0.1616704448534266,1
1981-04-13 09:00:00,R01,-0.6087486218203584,-0.0077950327972337585,0.08391259872053891,0.04435387837537073,1
1981-04-14 09:00:00,R01,-0.45448604778148477,0.037971184103970955,0.10275282658784825,0.13349479474315076,1
1981-04-30 09:00:00,R01,-0.07312175487507326,-0.15440131912978,0.11191083350086753,-0.5027229696665453,4
1981-05-01 09:00:00,R01,-0.1544326660596813,-0.2516386070113042,0.08167942791862251,-0.5903156075562905,1
1981-12-10 09:00:00,R03,0.4102808003651108,0.13811558911783856,0.02812419008312886,-0.3596820908487553,2
1981-12-11 09:00:00,R03,0.45084416501546437,0.1261124761314977,-0.1135304077693323,-0.3702538357410647,2
1982-01-29 09:00:00,R01,0.28436481658450824,-0.0966663633596314,0.5510077632323294,-0.014157542715836495,4
1982-02-09 09:00:00,R01,-0.5683417456944689,0.13854818286614962,-0.0909259016141591,0.0935308041987453,1
1982-02-17 09:00:00,R03,-0.047899919738956846,-0.0843942728085234,-0.24059018155009437,0.14510530284309614,1
1982-02-18 09:00:00,R03,0.08199919166424528,-0.09845917431592484,-0.09069013624681027,0.35950279414136815,4
1982-03-20 09:00:00,R01,-0.022943570809699058,-0.4358144484246129,0.20320582814440147,-0.04647047514606783,4
1982-03-21 09:00:00,R01,0.16792383957198462,-0.4062232266993208,0.3655675215266678,0.1197229457396122,4
