,EOF1,EOF2
1979-12-01 09:00:00,-0.7227901030483445,-0.06276294265566534
1979-12-02 09:00:00,-0.4617191427968155,0.2825373805730055
1980-01-24 09:00:00,-0.2936468852484692,-0.1628784165294059
1980-02-12 09:00:00,-0.22069353474387748,0.2954311923951626
1980-02-13 09:00:00,0.1583740025706532,0.10045282254256456
1980-02-25 09:00:00,-0.4647404279344208,-0.3380956727060874
1980-02-26 09:00:00,-0.2566875684649701,-0.13234904074944046
1980-03-01 09:00:00,0.15008279320795817,-0.5507376390568147
1980-03-03 09:00:00,-0.4692148951967261,-0.23678401340610755
1980-03-05 09:00:00,0.24061150583954002,0.09289432388324545
1980-03-20 09:00:00,-0.35206736260706584,0.010651483699782143
1980-03-30 09:00:00,0.3381688306572326,-0.3888212647132668
1980-04-05 09:00:00,0.28023640321769444,0.14406535526739137
1980-04-17 09:00:00,-0.3582470021901239,-0.14004667720424843
1980-04-23 09:00:00,0.5558643659406931,0.09622946471189285
1980-12-13 09:00:00,-0.4281885667063041,-0.1349774239385113
1980-12-23 09:00:00,0.6996376973160223,0.02472688275109541
1981-01-27 09:00:00,-0.04961128074108231,-0.4489757973517412
1981-02-10 09:00:00,-0.430447449513306,-0.37302907041643074
1981-02-11 09:00:00,-0.4805535948320491,0.12727495268014677
1981-03-01 09:00:00,0.03671312631203613,-0.4790269154030792
1981-03-03 09:00:00,-0.2881010426180902,-0.13492168167203172
1981-03-04 09:00:00,-0.12394878737546547,0.26819724658884275
1981-04-10 09:00:00,-0.4184135452159545,-0.3566680316225673
1981-04-12 09:00:00,-0.38397750655131596,-0.3614494359658612
1981-04-13 09:00:00,-0.5872645042634965,-0.06279015570625004
1981-04-14 09:00:00,-0.40558488953641414,0.03781637468940348
1981-05-01 09:00:00,-0.284620679511831,-0.19678956733891773
1981-05-28 09:00:00,0.2446712304857427,-0.2251173770342163
1981-12-11 09:00:00,0.45195284479565756,-0.23775535246080698
1982-01-29 09:00:00,0.24318247551503655,-0.1481287287382228
1982-02-09 09:00:00,-0.5539193345443884,-0.0599702948064668
1982-02-17 09:00:00,0.016229007040593504,0.020667619157968237
1982-02-18 09:00:00,0.12971993104241278,0.2608406614875546
1982-03-20 09:00:00,-0.26497898429941247,0.28480068459534974
1982-03-21 09:00:00,-0.012831386472691511,0.3216848217659649
1982-03-28 09:00:00,-0.6846868830728737,0.02608122523407559
1982-03-29 09:00:00,-0.5317807323987002,0.19206797440445375
1982-05-11 09:00:00,0.32455366345956,-0.07308695778235037
1982-12-08 09:00:00,-0.1890194263134621,0.3909638091676498
1983-01-25 09:00:00,-0.53516947636305,0.02406467743415034
1983-01-27 09:00:00,-0.32563050514016967,0.08001851313536117
1983-02-27 09:00:00,-0.5306498056922201,-0.40107245606955993
1983-02-28 09:00:00,-0.5514261167247514,0.12144564213335998
1983-03-01 09:00:00,-0.2261316593105052,0.17406191729633136
1983-03-06 09:00:00,-0.4866278136818448,-0.49217642633884645
1983-03-07 09:00:00,-0.5885842685522149,-0.02943464676928871
1983-03-15 09:00:00,-0.038693597267159485,-0.3069322075191022
1983-03-20 09:00:00,0.6584001145565112,-0.2663084952497772
1983-03-21 09:00:00,0.44627156217681496,-0.5348606269555645
1983-03-24 09:00:00,0.10009462953816492,0.44272885844299
1983-03-25 09:00:00,0.33133528028870907,0.5234429406368327
1983-04-08 09:00:00,0.5458675452850231,0.08764766417546366
1983-04-09 09:00:00,0.5222087542724424,-0.019818696118979337
1983-04-15 09:00:00,0.7202953045883664,0.23376512982292624
1983-04-16 09:00:00,0.789457232521558,0.0115613142539313
1983-04-29 09:00:00,0.07357971203843068,0.07569189328717085
1983-05-30 09:00:00,-0.07019146271363895,0.08292977377495568
1983-12-25 09:00:00,0.45122062566419086,-0.34940715623112345
1983-12-26 09:00:00,0.09568412311958417,-0.43227455714500157
1983-12-27 09:00:00,-0.1595095001448296,0.007691345410866755
1984-01-16 09:00:00,0.4153777129720508,-0.3586408014877866
1984-01-17 09:00:00,0.3470460714779123,-0.30138831348167283
1984-02-19 09:00:00,0.6487419420437014,0.04471708264635391
1984-02-20 09:00:00,0.6468505304237107,-0.0666498943320095
1984-03-15 09:00:00,-0.300383845438801,0.06292865904373322
1984-03-16 09:00:00,-0.22566201093581653,0.10367815920111007
1984-03-17 09:00:00,0.004819678992442172,-0.0019066591687214893
1984-03-27 09:00:00,-0.28399102866333364,-0.21613045402043995
1984-03-31 09:00:00,0.10583244266389899,0.25547223138749214
1984-04-03 09:00:00,0.5250983791673585,0.2856938752307325
1984-12-07 09:00:00,-0.4565899898939272,0.016379218235934953
1984-12-09 09:00:00,-0.4219089602074485,-0.020894908980217293
1984-12-10 09:00:00,-0.3421270092266302,-0.020907611514926344
1984-12-13 09:00:00,0.26749196530983277,-0.6892101739987215
1984-12-14 09:00:00,0.14758037150277348,-0.47389002851621215
1985-03-04 09:00:00,-0.4380826960191429,0.33837261002234076
1985-03-25 09:00:00,-0.12876344860057193,0.10779330012023179
1985-03-26 09:00:00,-0.07722669903328606,0.4062373589478947
1985-12-06 09:00:00,-0.11010956985638161,0.7062398059790743
1985-12-19 09:00:00,-0.4848832357928865,-0.5630341549569691
1985-12-20 09:00:00,-0.6094680475809656,-0.12997584753592992
1985-12-21 09:00:00,-0.40654429151505056,-0.08225419025477405
1986-02-09 09:00:00,0.20242334033254933,-0.11730346419236723
1986-03-09 09:00:00,0.3061790456836653,0.3288362725820762
1986-03-10 09:00:00,0.15056578227416453,0.4850349476183179
1986-03-12 09:00:00,-0.04851657058008504,0.5526017294460516
