,EOF1,EOF2,EOF3,EOF4
1979-12-01 09:00:00,0.677907288878216,0.08552633377139436,0.07457602959664239,0.12407235961271976
1979-12-02 09:00:00,0.3898844145609288,0.031396528791220055,0.17194037208016852,0.4529456387142129
1979-12-08 09:00:00,0.5384015688547238,0.2122669985657601,0.2147742785313047,-0.07512523739127354
1979-12-09 09:00:00,0.23323912310016082,0.10370112433867636,0.2521438174887446,0.15506763164199927
1979-12-21 09:00:00,-0.23784087365988354,0.57708748112888,-0.1255809823698307,-0.0016689264378119877
1979-12-22 09:00:00,-0.2707776515963743,0.7055746885079175,-0.05493189339997882,0.02390105476785037
1979-12-25 09:00:00,0.04460684789288761,-0.013976388362086157,0.15529925108774348,-0.10610628711981802
1980-01-18 09:00:00,-0.3314571347876622,0.32289579677789515,0.2560143967236497,-0.06184115216196136
1980-01-23 09:00:00,0.293727560708838,-0.037243271655523,-0.13142278538733526,-0.1378899021750984
1980-01-24 09:00:00,0.37274798779681373,0.040546138608363355,-0.306836991741338,-0.2753167949777384
1980-02-02 09:00:00,-0.43918493576219697,-0.06091705586814039,-0.3970354609388704,0.23063623714964307
1980-02-03 09:00:00,-0.3438863013090171,-0.13462280458824624,-0.42624090411129034,0.1470911885573304
1980-02-04 09:00:00,-0.20413870093282444,-0.32326791412395695,-0.4126493821504191,-0.03422170890115546
1980-02-05 09:00:00,0.012505196001678714,-0.2759786109724617,-0.561961796211896,-0.25326911441955596
1980-02-11 09:00:00,0.2795327911898264,0.28331933215862226,-0.17142469921608267,-0.20144564108715302
1980-02-12 09:00:00,0.06206491259577147,0.12688392609750332,0.24406278675417623,0.058762218110003026
1980-02-13 09:00:00,-0.02891826107656811,-0.32756583425103347,0.1787709506014968,0.11519129021931078
1980-02-14 09:00:00,0.0030414485146534214,-0.4316495912414108,0.15438238351173872,-0.13444185388545934
1980-02-19 09:00:00,0.2835263591602232,-0.14169248265463275,0.1769984231348223,0.1873228804883408
1980-02-20 09:00:00,0.4598598962340678,0.20303350632850947,0.16544795923663436,0.025324865068033296
1980-02-21 09:00:00,0.36241610898801235,0.3585348771339005,0.31949223524844583,0.1223810144239038
1980-02-25 09:00:00,0.5005625109933637,0.06358921667318755,0.18176611156702083,0.10684834410057586
1980-02-26 09:00:00,0.22608613000767194,-0.08779072697135336,0.4034911391216647,0.2475283857356397
1980-03-01 09:00:00,0.20126126810192943,-0.5520561177577733,0.07001283308195241,-0.12912416746281477
1980-03-02 09:00:00,0.4874488014632653,-0.3290238558317763,0.011992893798513702,-0.24044796288342837
1980-03-03 09:00:00,0.4606026375376176,0.10223644038524421,-0.06008901723564685,-0.27819029494939274
1980-03-05 09:00:00,-0.07986302130505944,0.13430343293915373,-0.16098257484206122,-0.08624111796114649
1980-03-07 09:00:00,-0.4530899969646775,-0.010657989579032558,-0.03855098161734666,0.2389532975365183
1980-03-17 09:00:00,-0.19014673085983946,-0.11526968915007628,0.4673861827301693,0.04444204263595014
1980-03-19 09:00:00,0.13451511233516772,0.24577228067333665,0.3632657546033505,-0.45393190862554966
1980-03-20 09:00:00,0.08365778147918108,0.23798097647243738,0.42972078962131105,-0.2793991569451132
1980-03-21 09:00:00,-0.15751971751969315,0.23109064176871194,0.2842666078558281,-0.31524857363808245
1980-03-27 09:00:00,-0.33176701404754394,-0.3916910112581827,-0.28581233678475226,0.03679351248440098
1980-03-30 09:00:00,-0.11650021635069106,-0.427797265335571,-0.12754091436454124,-0.19550053201978865
1980-04-05 09:00:00,-0.4698437056703875,0.14563367120372928,0.3522903505062572,-0.1581987906210492
1980-04-16 09:00:00,0.33426505155562636,-0.004135262801341535,0.30281507166875865,-0.27961962940676416
1980-04-17 09:00:00,0.32822438804861875,0.14461559518423786,0.3744077206275555,-0.24207886303479031
1980-04-18 09:00:00,0.17363565423584582,0.2716538727646848,0.3713262501474357,-0.1615685837173031
1980-04-23 09:00:00,-0.6874891315877436,0.01047256437921588,0.20670676802568513,-0.2696897884503319
1980-04-24 09:00:00,-0.6599591751553707,-0.0707669006277001,0.2605352870593051,-0.28894480340844636
1980-04-29 09:00:00,-0.09352164634481336,0.03253834448302899,0.33352686314053787,-0.39069101296214026
1980-05-11 09:00:00,-0.1430323808284728,-0.20535916945480773,0.10313229035734174,0.15997007006690594
1980-12-12 09:00:00,0.6148210865160993,-0.025389720812118658,0.04771896154422126,-0.09847559346739988
1980-12-13 09:00:00,0.5577009754648411,-0.03956367642326901,-0.010544548045822468,-1.7536165098783953e-06
1980-12-23 09:00:00,-0.4987540034169788,-0.4450349998667004,0.14479898646071515,0.30943607920971666
1980-12-24 09:00:00,-0.26213613940778563,-0.5364176770826691,-0.013026761332721765,0.41062326328906584
1981-01-02 09:00:00,-0.042446030165251517,-0.5178220749156937,0.2608803986447997,0.09527724145609173
1981-01-24 09:00:00,-0.26103565291793424,-0.6426339909177673,-0.06271449842832666,0.20155434976463574
1981-01-27 09:00:00,0.166954975886686,-0.42385056192646486,0.25095275549573554,-0.21243816646131386
1981-01-28 09:00:00,-0.07302308353273188,-0.35302494982834687,0.24560723313334418,0.15257803398004338
1981-02-01 09:00:00,0.49446548560443015,-0.21151369882401186,0.147243485231344,0.3197942277240515
1981-02-02 09:00:00,0.49889892310992173,0.1956860439413154,0.11072506597624893,0.44103087302600325
1981-02-10 09:00:00,0.5507675523983802,0.1178467605829978,-0.19299532109672857,-0.3387620176694667
1981-02-11 09:00:00,0.353073885926149,0.5127353899376026,-0.18332557553495812,-0.29359513630462697
