,EOF1,EOF2,EOF3,EOF4
1979-12-01 09:00:00,-0.6582936127538119,0.0748920662768825,-0.14207198758649223,-0.08519812179352076
1979-12-02 09:00:00,-0.3546379216126954,-0.0688341610892697,-0.3287831334923137,-0.36718928453250826
1980-01-24 09:00:00,-0.320349073127147,0.24870062703461784,0.32710983524763665,0.09907307083130118
1980-02-12 09:00:00,-0.07445716977282862,-0.25590526200427566,-0.13378136387301443,0.1101810593486699
1980-02-13 09:00:00,0.14903563735910622,0.10080299395266092,-0.2921673416390239,0.009422090910377073
1980-02-25 09:00:00,-0.4654962905425975,0.028671817937932352,-0.1829488470100435,-0.027822583055356533
1980-02-26 09:00:00,-0.18181894755326464,-0.09195562378746625,-0.45569371609737735,-0.041825603854394856
1980-03-01 09:00:00,0.0030345911648771875,0.489099871355429,-0.3069202191271381,0.1743847437340376
1980-03-03 09:00:00,-0.4414227978612232,0.12096309974991161,0.11385470879950707,0.2358477148616197
1980-03-05 09:00:00,0.1262784454920037,-0.044377720821678755,0.19936780237438528,0.10454909129330026
1980-03-20 09:00:00,-0.14925065613166258,-0.34714939918339904,-0.14820454908048253,0.4124072185360874
1980-03-30 09:00:00,0.29298650127598014,0.38958847175003963,-0.028904464508104296,0.17967456768364917
1980-04-05 09:00:00,0.40767989362611584,-0.3625694586370796,-0.13433807687831492,0.273383410065089
1980-04-17 09:00:00,-0.3291714194806752,-0.14754167985201763,-0.1904433559879625,0.38988247870113546
1980-04-23 09:00:00,0.6462519219657362,-0.24240093102580712,-0.03158907789567063,0.3742866815395019
1980-12-13 09:00:00,-0.4803557148282316,0.1792614962208497,-0.03381019987717358,0.032143688687019965
1980-12-23 09:00:00,0.6263116446844929,0.09451676507382112,-0.36081402373232097,-0.13638741641066934
1981-01-27 09:00:00,-0.027646229939175558,0.3089046659831636,-0.3767981821109494,0.2948963282276749
1981-02-10 09:00:00,-0.5052214166794008,0.2428141356602735,0.2628663790289119,0.2446750260472725
1981-02-11 09:00:00,-0.43772492690707,-0.170412948681507,0.4518563785707897,0.19312679967531873
1981-03-01 09:00:00,-0.075865485074386,0.4489156526960815,0.2286300673678372,0.20572632296172258
1981-03-03 09:00:00,-0.15434201788192223,-0.06939736452866178,0.32806673588751967,0.4781209204888578
1981-03-04 09:00:00,0.06366591171263333,-0.2891380245646653,0.20839068368098584,0.33407461826392737
1981-04-10 09:00:00,-0.48848049642240493,0.4377950062097732,0.013403726976673259,0.043104199276443184
1981-04-12 09:00:00,-0.42604836160058174,0.27760108641422804,-0.06227052524437873,0.12057588173188116
1981-04-13 09:00:00,-0.5903909484480725,0.048083738950612694,-0.09399251158744766,-0.0718871592845394
1981-04-14 09:00:00,-0.4279813288435876,0.07165762482812736,-0.12372504297426755,-0.13702155395683757
1981-05-01 09:00:00,-0.1560041099821709,-0.19515037841819116,-0.04654727965817594,0.6099290142602802
1981-05-28 09:00:00,0.22911315583351985,0.1735556675843154,0.2016287421169126,0.053596128514582016
1981-12-11 09:00:00,0.44699077245266366,0.12363215984958996,0.16247873592258225,0.36461953051654433
1982-01-29 09:00:00,0.3201406631862222,-0.06559755951114038,-0.5485426228848655,0.04768017751319665
1982-02-09 09:00:00,-0.5573298118563845,0.17200149901885461,0.06651721794203393,-0.10755015090648808
1982-02-17 09:00:00,-0.05010587151571312,-0.09373548076712702,0.22403882213209267,-0.18470512954377105
1982-02-18 09:00:00,0.09621552241584136,-0.1163433688806114,0.06358925093816599,-0.37769087791865097
1982-03-20 09:00:00,-0.00846046978967458,-0.3953981459223376,-0.21840887979207668,0.04775185071946694
1982-03-21 09:00:00,0.18930338610564165,-0.38200130379230424,-0.3873707434271524,-0.0945830157075512
1982-03-28 09:00:00,-0.6801782712311107,-0.0165279540129125,0.2497257156956189,-0.15515737080941047
1982-03-29 09:00:00,-0.49608500559778085,-0.05517242556610608,0.46454686404534784,-0.010541563257374488
1982-05-11 09:00:00,0.16150065168247732,0.2447712140223668,0.6794306658251856,-0.0843063729651777
1982-12-08 09:00:00,-0.18131526669890613,-0.2224855160634504,0.185760573388522,-0.1889581319585173
1983-01-25 09:00:00,-0.5288536585940962,0.02229485802041319,-0.3215989575380931,-0.2787981863685784
1983-01-27 09:00:00,-0.3709855509640714,0.24426196060342567,-0.13738286432239286,-0.5026262148500594
1983-02-27 09:00:00,-0.517386536639806,0.3089016811492487,-0.03804965737787104,-0.013657758867558451
1983-02-28 09:00:00,-0.4216712984481942,-0.1027106643494505,-0.11326760571007853,-0.11277910951265549
1983-03-01 09:00:00,-0.09827433358943255,-0.1568033754295859,-0.17547943746456518,-0.1856622399895177
1983-03-06 09:00:00,-0.541203657575725,0.3183480765624186,-0.1706675756544714,0.16543555359592152
1983-03-07 09:00:00,-0.5433968176965965,0.049586914581814495,-0.23546194980467774,-0.11783226775266184
1983-03-15 09:00:00,-0.15027635851947485,0.3444888436595882,0.25912469733855215,-0.027426519194729538
1983-03-20 09:00:00,0.4671070988676839,0.6148937824341276,-0.09298209270638436,-0.37147699303557313
1983-03-21 09:00:00,0.2176183095702874,0.7702751243786787,0.014680813244463442,-0.167825929903049
1983-03-24 09:00:00,0.05826220503039691,-0.14141567529437185,0.6679872355526302,-0.11002548608319238
1983-03-25 09:00:00,0.2999727281216115,-0.2926187928564494,0.6108578621335996,-0.1915598596291861
1983-04-08 09:00:00,0.3959172825185016,0.3074078456655135,0.2702362920358539,-0.3951023615088758
1983-04-09 09:00:00,0.2978794619856069,0.4820157390140152,0.2540425426047582,-0.421341122388277
